customer_id,age,gender,city,state,membership_type,annual_income,occupation,education_level,marital_status,number_of_children,preferred_device,app_usage_hours,avg_session_duration,products_viewed_per_visit,cart_additions,abandoned_carts,monthly_orders,avg_order_value,total_spending,discount_usage_rate,coupon_redemptions,return_rate,preferred_category,payment_method,failed_payment_attempts,delivery_delay_days,customer_support_calls,satisfaction_score,loyalty_points,social_media_engagement,email_click_rate,push_notification_response,referral_count,website_visits_per_month,last_purchase_days_ago,churn_risk_score,fraud_flag,subscription_active,high_value_customer
1,58,Male,Mumbai,West Bengal,Platinum,1023849.95,Doctor,PhD,Single,0,Mobile,2.14,31.31,2,17,3,6,4251.12,229560.48,0.72,22,0.27,Fashion,COD,4,4,0,1.1,9112,75.88,0.16,0.42,8,20,110,0.24,1,0,0
2,23,Male,Jaipur,Tamil Nadu,Silver,646692.65,Lawyer,High School,Married,4,Desktop,4.83,42.87,3,7,4,6,3554.69,383906.52,0.99,27,0.12,Electronics,COD,2,7,11,1.39,11370,16.27,0.36,0.67,20,10,311,0.6,0,0,0
3,28,Male,Chennai,Rajasthan,Silver,532191.57,Student,High School,Married,3,Desktop,1.0,54.96,37,10,3,7,1957.85,274099.0,0.66,12,0.44,Books,COD,1,4,4,2.52,21071,24.66,0.56,0.26,18,55,298,0.69,1,1,0
4,32,Male,Bangalore,West Bengal,Silver,639776.46,Lawyer,High School,Married,3,Tablet,7.97,32.69,36,0,10,6,3974.95,238497.0,0.72,21,0.44,Groceries,Debit Card,5,5,3,3.04,3078,29.35,0.16,0.0,8,65,91,0.76,0,1,0
5,58,Male,Delhi,Tamil Nadu,Gold,407208.31,Analyst,High School,Single,2,Desktop,2.3,15.97,37,2,1,10,6465.59,1422429.8,0.73,26,0.03,Groceries,Net Banking,1,2,15,3.44,5108,94.68,0.17,0.53,19,55,108,0.37,0,1,0
6,43,Male,Hyderabad,Delhi,Gold,809523.1,Engineer,Bachelor,Single,0,Mobile,5.81,5.41,5,1,5,8,3958.01,538289.36,0.07,7,0.14,Sports,Credit Card,4,2,15,,17059,24.3,0.47,0.41,3,13,337,0.45,1,1,0
7,45,Other,Mumbai,Delhi,Gold,1053742.98,Designer,High School,Single,1,Mobile,4.52,10.13,12,8,7,7,6097.95,811027.35,0.25,29,0.04,Groceries,Net Banking,0,0,0,2.87,23990,96.9,0.93,0.85,5,53,248,0.05,1,0,0
8,43,Female,Jaipur,Karnataka,Gold,787793.76,Analyst,Bachelor,Single,2,Mobile,7.77,35.59,35,1,5,12,3761.31,315950.04,0.06,18,0.24,Groceries,Net Banking,1,0,2,1.66,170,85.13,0.07,0.07,7,52,61,0.99,0,0,0
9,57,Female,Pune,Maharashtra,Platinum,880466.47,Designer,Bachelor,Married,3,Mobile,5.54,19.4,21,2,0,7,3961.79,221860.24,0.46,18,0.5,Electronics,Net Banking,1,8,8,2.68,19225,13.25,0.35,0.07,7,48,145,0.57,0,1,0
10,52,Other,Pune,West Bengal,Silver,567027.24,Teacher,Master,Single,0,Tablet,4.65,17.8,39,6,5,12,3596.84,647431.2,0.2,20,0.43,Beauty,COD,2,0,2,3.45,21529,63.43,0.83,0.04,10,99,66,0.53,1,0,0
11,65,Male,Mumbai,West Bengal,Silver,1295806.77,Engineer,Master,Single,3,Mobile,0.81,23.15,3,11,3,4,3974.49,317959.2,0.68,21,0.05,Groceries,Net Banking,3,9,4,3.21,14114,92.58,0.24,0.16,5,113,211,0.56,0,0,0
12,65,Other,Hyderabad,Karnataka,Silver,730049.92,Doctor,PhD,Single,3,Mobile,2.0,55.27,23,9,3,11,3055.9,537838.4,0.22,21,0.1,Home,Debit Card,0,4,11,4.13,13591,64.15,0.4,0.98,17,43,14,0.8,0,1,0
